epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7008841633796692,0.0009045085171237588,1.5767725706100464,0.9789621233940125,0.12640422582626343
1,0.8098306655883789,0.0006545084761455655,0.8158449530601501,0.8955119252204895,0.3225809931755066
2,0.832758903503418,0.0003454914258327335,0.48530617356300354,0.9593268036842346,0.13869570195674896
0,0.6021279692649841,0.0010000000474974513,1.6210769414901733,0.9754558205604553,0.10822241753339767
1,0.8038363456726074,0.0010000000474974513,0.8195352554321289,0.948106586933136,0.16803553700447083
2,0.8546380996704102,0.0010000000474974513,0.6260384917259216,0.8702664971351624,0.34218475222587585
3,0.8580847978591919,0.0010000000474974513,0.4955117404460907,0.9424964785575867,0.17053014039993286
4,0.896148681640625,0.0005000000237487257,0.462866872549057,0.9558205008506775,0.13416345417499542
5,0.891353189945221,0.0005000000237487257,0.3700161874294281,0.9796633720397949,0.0632089376449585
6,0.9094859957695007,0.0005000000237487257,0.31862443685531616,0.9446002840995789,0.1602480411529541
7,0.9060392379760742,0.0005000000237487257,0.38699185848236084,0.9761570692062378,0.08079059422016144
8,0.9322643280029297,0.0005000000237487257,0.224773570895195,0.97826087474823,0.07893022149801254
9,0.9318147897720337,0.0002500000118743628,0.20104773342609406,0.9747545719146729,0.07694211602210999
10,0.9331635236740112,0.0002500000118743628,0.2455831915140152,0.9831697344779968,0.05721438676118851
11,0.9399070739746094,0.0002500000118743628,0.1891116052865982,0.9817671775817871,0.05679085850715637
12,0.9351116418838501,0.0002500000118743628,0.1999618113040924,0.9852734804153442,0.04820577800273895
13,0.939757227897644,0.0002500000118743628,0.10628537833690643,0.9817671775817871,0.05792509764432907
14,0.952195405960083,0.0002500000118743628,0.12714646756649017,0.9817671775817871,0.05297482758760452
0,0.8994455337524414,9.999999747378752e-06,0.37293919920921326,0.991584837436676,0.024891097098588943
1,0.8962985277175903,9.999999747378752e-06,0.29833102226257324,0.9859747290611267,0.03116716630756855
2,0.9052899479866028,9.999999747378752e-06,0.27057355642318726,0.9824684262275696,0.04486003890633583
3,0.8988460898399353,9.999999747378752e-06,0.2531091570854187,0.9768583178520203,0.06338673830032349
4,0.9063389897346497,4.999999873689376e-06,0.16905324161052704,0.9761570692062378,0.07187346369028091
5,0.9072381258010864,4.999999873689376e-06,0.2657635807991028,0.9684432148933411,0.09170696139335632
6,0.9052899479866028,4.999999873689376e-06,0.193194180727005,0.9677419066429138,0.09650690853595734
7,0.90903639793396,2.499999936844688e-06,0.1484864205121994,0.9670406579971313,0.1019982174038887
0,0.2281879186630249,0.0010000000474974513,2.31885027885437,0.07236842066049576,1.629152536392212
1,0.17039522528648376,0.0010000000474974513,2.3131394386291504,0.004934210330247879,2.4311556816101074
2,0.18941088020801544,0.0010000000474974513,2.381281852722168,0.00657894741743803,1.929731845855713
3,0.16442953050136566,0.0010000000474974513,2.10718035697937,0.00657894741743803,2.3390603065490723
4,0.18754661083221436,0.0005000000237487257,2.111607789993286,0.00657894741743803,2.187333822250366
5,0.17076808214187622,0.0005000000237487257,2.086991310119629,0.008223684504628181,1.8739429712295532
6,0.16256524622440338,0.0005000000237487257,2.073579788208008,0.12171052396297455,1.7369294166564941
7,0.1964951455593109,0.0002500000118743628,1.8924599885940552,0.008223684504628181,2.017112970352173
8,0.15100671350955963,0.0002500000118743628,1.9996974468231201,0.008223684504628181,2.0711288452148438
9,0.152125284075737,0.0002500000118743628,2.107421398162842,0.00657894741743803,1.9475443363189697
10,0.19164802134037018,0.0001250000059371814,2.0051932334899902,0.008223684504628181,1.8661510944366455
11,0.19351230561733246,0.0001250000059371814,1.9509069919586182,0.00657894741743803,1.9184845685958862
12,0.18754661083221436,0.0001250000059371814,1.9996774196624756,0.00657894741743803,1.930638313293457
13,0.2076808363199234,6.25000029685907e-05,1.9775558710098267,0.008223684504628181,1.9402564764022827
